Driver,LapNumber,Compound,FreshTyre,TyreLife,LapTime,TrackStatus,IsPersonalBest
VER,33.0,MEDIUM,True,33.0,0 days 00:01:58.611000,1264,False
VER,34.0,SOFT,False,4.0,,4,False
GAS,31.0,MEDIUM,True,31.0,0 days 00:01:33.391000,1,False
GAS,32.0,SOFT,False,4.0,0 days 00:02:06.804000,126,False
GAS,46.0,SOFT,False,18.0,,1,False
PER,28.0,MEDIUM,True,28.0,0 days 00:01:32.235000,1,False
PER,29.0,SOFT,True,1.0,0 days 00:01:50.559000,1,False
ALO,33.0,MEDIUM,False,34.0,0 days 00:02:03.930000,64,False
ALO,34.0,SOFT,False,4.0,0 days 00:02:27.213000,4,False
LEC,18.0,MEDIUM,True,18.0,0 days 00:01:32.475000,1,False
LEC,19.0,HARD,True,1.0,0 days 00:01:52.861000,1,False
LEC,32.0,HARD,True,14.0,0 days 00:01:36.215000,126,False
LEC,33.0,MEDIUM,True,1.0,0 days 00:02:26.130000,64,False
STR,31.0,MEDIUM,False,32.0,0 days 00:01:32.933000,1,False
STR,32.0,SOFT,False,4.0,0 days 00:02:11.273000,126,False
SAR,29.0,MEDIUM,True,29.0,0 days 00:01:32.723000,1,False
SAR,30.0,SOFT,True,1.0,0 days 00:01:52.724000,1,False
DEV,27.0,SOFT,True,27.0,0 days 00:01:33.299000,1,False
DEV,28.0,MEDIUM,True,1.0,0 days 00:01:53.094000,1,False
DEV,32.0,MEDIUM,True,5.0,0 days 00:01:50.128000,126,False
DEV,33.0,SOFT,True,1.0,0 days 00:02:24.933000,64,False
TSU,14.0,SOFT,True,14.0,0 days 00:01:34.769000,1,False
TSU,15.0,HARD,True,1.0,0 days 00:01:54.644000,1,False
TSU,32.0,HARD,True,18.0,0 days 00:01:47.079000,126,False
TSU,33.0,SOFT,True,1.0,0 days 00:02:25.863000,64,False
ALB,32.0,MEDIUM,True,32.0,0 days 00:01:36.773000,126,False
ALB,33.0,SOFT,False,5.0,0 days 00:02:26.603000,64,False
ZHO,24.0,MEDIUM,True,24.0,0 days 00:01:33.170000,1,False
ZHO,25.0,HARD,True,1.0,0 days 00:01:55.240000,1,False
ZHO,33.0,HARD,True,9.0,0 days 00:02:04.102000,64,False
ZHO,34.0,SOFT,True,1.0,0 days 00:02:22.914000,4,False
ZHO,36.0,SOFT,True,3.0,0 days 00:02:20.527000,4,False
ZHO,37.0,SOFT,False,4.0,0 days 00:02:28.721000,4,False
HUL,7.0,HARD,True,7.0,0 days 00:01:34.412000,1,False
HUL,8.0,MEDIUM,True,1.0,0 days 00:02:07.922000,1,False
HUL,32.0,MEDIUM,True,25.0,0 days 00:01:54.146000,126,False
HUL,33.0,SOFT,True,1.0,0 days 00:02:26.674000,64,False
OCO,9.0,SOFT,True,9.0,0 days 00:01:33.846000,1,False
NOR,33.0,MEDIUM,True,33.0,0 days 00:02:02.830000,1264,False
NOR,34.0,HARD,True,1.0,,4,False
HAM,33.0,MEDIUM,True,33.0,0 days 00:02:03.496000,64,False
HAM,34.0,SOFT,False,4.0,,4,False
SAI,26.0,MEDIUM,True,26.0,0 days 00:01:33.181000,1,False
SAI,27.0,HARD,True,1.0,0 days 00:01:52.728000,1,False
RUS,28.0,SOFT,False,31.0,0 days 00:01:32.504000,1,False
RUS,29.0,MEDIUM,True,1.0,0 days 00:01:53.262000,1,False
BOT,32.0,HARD,True,32.0,0 days 00:01:45.965000,126,False
BOT,33.0,SOFT,True,1.0,0 days 00:02:26.908000,64,False
PIA,29.0,MEDIUM,True,29.0,0 days 00:01:32.563000,1,False
PIA,30.0,HARD,True,1.0,0 days 00:01:52.490000,1,False
